source_file,main_player,player_color,opponent,event,site,date,year,round,white,black,white_elo,black_elo,result,result_label,player_result,eco,opening,num_plies,num_moves,captures,checks,castles,promotions,white_castled,black_castled,player_captures,player_checks,player_castled,player_promotions,opponent_captures,opponent_checks
Karpov.pgn,Karpov,black,"Kirillov, Vladimir Grigorevic",Zlatoust,Zlatoust,1962.??.??,1962,?,"Kirillov, Vladimir Grigorevic","Karpov, Anatoly",,,0-1,black_win,win,A21,,126,63.0,24,18,2,0,True,True,12,6,True,0,12,12
Karpov.pgn,Karpov,black,Kolishkin,Zlatoust,Zlatoust,1962.??.??,1962,?,Kolishkin,"Karpov, Anatoly",,,0-1,black_win,win,C98,,108,54.0,18,0,2,0,True,True,10,0,True,0,8,0
Karpov.pgn,Karpov,black,"Ziuliarkin, X.",Zlatoust,Zlatoust,1962.??.??,1962,?,"Ziuliarkin, X.","Karpov, Anatoly",,,0-1,black_win,win,C50,,70,35.0,17,0,2,0,True,True,10,0,True,0,7,0
Karpov.pgn,Karpov,black,"Kalashnikov, Viacheslav",Zlatoust,Zlatoust,1962.??.??,1962,?,"Kalashnikov, Viacheslav","Karpov, Anatoly",,,1/2-1/2,draw,draw,C97,,72,36.0,14,1,2,0,True,True,7,0,True,0,7,1
Karpov.pgn,Karpov,white,Piskunov,Zlatoust,Zlatoust,1962.??.??,1962,?,"Karpov, Anatoly",Piskunov,,,1-0,white_win,win,B03,,69,34.5,10,0,2,0,True,True,5,0,True,0,5,0
Karpov.pgn,Karpov,black,"Kalashnikov, Viacheslav",Zlatoust,Zlatoust,1963.??.??,1963,?,"Kalashnikov, Viacheslav","Karpov, Anatoly",,,0-1,black_win,win,C44,,84,42.0,18,1,2,0,True,True,9,0,True,0,9,1
Karpov.pgn,Karpov,black,"Korotaev, A.",Zlatoust,Zlatoust,1963.??.??,1963,?,"Korotaev, A.","Karpov, Anatoly",,,0-1,black_win,win,E14,,84,42.0,11,0,2,0,True,True,7,0,True,0,4,0
Karpov.pgn,Karpov,black,"Ziuliarkin, X.",Zlatoust,Zlatoust,1963.??.??,1963,?,"Ziuliarkin, X.","Karpov, Anatoly",,,0-1,black_win,win,D61,,102,51.0,27,7,2,0,True,True,14,7,True,0,13,0
Karpov.pgn,Karpov,black,"Ravinsky, Grigory Ionovich",Leningrad,Leningrad,1966.??.??,1966,?,"Ravinsky, Grigory Ionovich","Karpov, Anatoly",,,1/2-1/2,draw,draw,C62,,38,19.0,9,0,2,0,True,True,5,0,True,0,4,0
Karpov.pgn,Karpov,black,"Ciric, Dragoljub M",EU-ch casual,Groningen,1967.??.??,1967,?,"Ciric, Dragoljub M","Karpov, Anatoly",,,1/2-1/2,draw,draw,C92,,64,32.0,8,0,2,0,True,True,4,0,True,0,4,0
Karpov.pgn,Karpov,black,"Zara, Dan",EU-ch U18 f-A 6768,Groningen,1967.??.??,1967,1,"Zara, Dan","Karpov, Anatoly",,,1/2-1/2,draw,draw,E18,,69,34.5,19,0,2,0,True,True,8,0,True,0,11,0
Karpov.pgn,Karpov,white,"Schaufelberger, Heinz",EU-ch U18 sf 6768,Groningen,1967.??.??,1967,1,"Karpov, Anatoly","Schaufelberger, Heinz",,,1-0,white_win,win,B25,,59,29.5,16,1,2,0,True,True,9,1,True,0,7,0
Karpov.pgn,Karpov,white,"Moles, John",EU-ch U18 f-A 6768,Groningen,1967.??.??,1967,2,"Karpov, Anatoly","Moles, John",,,1-0,white_win,win,C77,,81,40.5,16,1,2,1,True,True,7,0,True,1,9,1
Karpov.pgn,Karpov,white,"Maeder, Karl Heinz",EU-ch U18 sf 6768,Groningen,1967.??.??,1967,2,"Karpov, Anatoly","Maeder, Karl Heinz",,,1-0,white_win,win,B25,,61,30.5,11,0,2,0,True,True,6,0,True,0,5,0
Karpov.pgn,Karpov,black,"Lewi, Jerzy",EU-ch U18 f-A 6768,Groningen,1967.??.??,1967,3,"Lewi, Jerzy","Karpov, Anatoly",,,0-1,black_win,win,A21,,108,54.0,21,8,1,0,True,False,11,2,False,0,10,6
Karpov.pgn,Karpov,black,"Adorjan, Andras",EU-ch U18 sf 6768,Groningen,1967.??.??,1967,3,"Adorjan, Andras","Karpov, Anatoly",,,1/2-1/2,draw,draw,C68,,20,10.0,6,1,1,0,True,False,2,1,False,0,4,0
Karpov.pgn,Karpov,white,"Ligterink, Gert",EU-ch U18 sf 6768,Groningen,1967.??.??,1967,4,"Karpov, Anatoly","Ligterink, Gert",,,1/2-1/2,draw,draw,B20,,24,12.0,4,1,1,0,False,True,2,0,False,0,2,1
Karpov.pgn,Karpov,white,"Timman, Jan H",EU-ch U18 f-A 6768,Groningen,1967.??.??,1967,4,"Karpov, Anatoly","Timman, Jan H",,,1-0,white_win,win,A17,,81,40.5,15,3,2,0,True,True,8,0,True,0,7,3
Karpov.pgn,Karpov,black,"Hostalet, Pedro Enrique",EU-ch U18 f-A 6768,Groningen,1967.??.??,1967,5,"Hostalet, Pedro Enrique","Karpov, Anatoly",,,0-1,black_win,win,E38,,44,22.0,13,3,1,0,False,True,7,3,True,0,6,0
Karpov.pgn,Karpov,black,"Zara, Dan",EU-ch U18 sf 6768,Groningen,1967.??.??,1967,5,"Zara, Dan","Karpov, Anatoly",,,1/2-1/2,draw,draw,C42,,39,19.5,10,3,2,0,True,True,5,1,True,0,5,2
Karpov.pgn,Karpov,white,"Adorjan, Andras",EU-ch U18 f-A 6768,Groningen,1967.??.??,1967,6,"Karpov, Anatoly","Adorjan, Andras",,,1/2-1/2,draw,draw,B25,,32,16.0,4,1,2,0,True,True,2,1,True,0,2,0
Karpov.pgn,Karpov,black,"Timman, Jan H",EU-ch U18 sf 6768,Groningen,1967.??.??,1967,6,"Timman, Jan H","Karpov, Anatoly",,,1/2-1/2,draw,draw,D03,,35,17.5,10,1,2,0,True,True,5,0,True,0,5,1
Karpov.pgn,Karpov,white,"Hostalet, Pedro Enrique",EU-ch U18 sf 6768,Groningen,1967.??.??,1967,7,"Karpov, Anatoly","Hostalet, Pedro Enrique",,,1/2-1/2,draw,draw,D03,,22,11.0,2,0,2,0,True,True,1,0,True,0,1,0
Karpov.pgn,Karpov,black,"Ligterink, Gert",EU-ch U18 f-A 6768,Groningen,1967.??.??,1967,7,"Ligterink, Gert","Karpov, Anatoly",,,1/2-1/2,draw,draw,D66,,53,26.5,10,0,2,0,True,True,5,0,True,0,5,0
Karpov.pgn,Karpov,white,"Vujakovic, Branko",URS-JUG,Sochi,1968.??.??,1968,1,"Karpov, Anatoly","Vujakovic, Branko",,,1-0,white_win,win,B07,,67,33.5,11,1,2,0,True,True,6,1,True,0,5,0
Karpov.pgn,Karpov,black,"Vujakovic, Branko",URS-JUG,Sochi,1968.??.??,1968,2,"Vujakovic, Branko","Karpov, Anatoly",,,0-1,black_win,win,C84,,74,37.0,21,2,2,0,True,True,11,0,True,0,10,2
Karpov.pgn,Karpov,white,"Vujakovic, Branko",URS-JUG,Sochi,1968.??.??,1968,3,"Karpov, Anatoly","Vujakovic, Branko",,,1-0,white_win,win,B07,,59,29.5,11,1,2,0,True,True,7,0,True,0,4,1
Karpov.pgn,Karpov,black,"Vujakovic, Branko",URS-JUG,Sochi,1968.??.??,1968,4,"Vujakovic, Branko","Karpov, Anatoly",,,1/2-1/2,draw,draw,C84,,51,25.5,11,1,2,0,True,True,6,0,True,0,5,1
Karpov.pgn,Karpov,white,"Lisenko, Alexander V",URS-chT,URS,1968.??.??,1968,?,"Karpov, Anatoly","Lisenko, Alexander V",,,1/2-1/2,draw,draw,B31,,102,51.0,19,2,2,0,True,True,9,1,True,0,10,1
Karpov.pgn,Karpov,white,"Mikliaev, I.",URS-chT,URS,1968.??.??,1968,?,"Karpov, Anatoly","Mikliaev, I.",,,1-0,white_win,win,C76,,141,70.5,20,4,2,0,True,True,11,2,True,0,9,2
Karpov.pgn,Karpov,black,Cihelashvili,URS-chT,URS,1968.??.??,1968,?,Cihelashvili,"Karpov, Anatoly",,,0-1,black_win,win,C25,,68,34.0,17,5,1,0,False,True,8,2,True,0,9,3
Karpov.pgn,Karpov,white,"Piesina, Gintautas",URS-chT,URS,1968.??.??,1968,?,"Karpov, Anatoly","Piesina, Gintautas",,,1-0,white_win,win,A37,,65,32.5,11,0,2,0,True,True,6,0,True,0,5,0
Karpov.pgn,Karpov,white,"Romanishin, Oleg M",URS-chT,URS,1968.??.??,1968,?,"Karpov, Anatoly","Romanishin, Oleg M",,,1-0,white_win,win,D01,,79,39.5,14,2,2,0,True,True,7,2,True,0,7,0
Karpov.pgn,Karpov,white,"Vaganian, Rafael A",URS-chT,URS,1968.??.??,1968,?,"Karpov, Anatoly","Vaganian, Rafael A",,,1/2-1/2,draw,draw,B04,,86,43.0,16,0,2,0,True,True,8,0,True,0,8,0
Karpov.pgn,Karpov,black,"Kirpichnikov, Vladimir S",URS-chT,URS,1968.??.??,1968,?,"Kirpichnikov, Vladimir S","Karpov, Anatoly",,,0-1,black_win,win,C85,,56,28.0,10,0,2,0,True,True,6,0,True,0,4,0
Karpov.pgn,Karpov,black,"Sangla, P.",URS-chT,URS,1968.??.??,1968,?,"Sangla, P.","Karpov, Anatoly",,,0-1,black_win,win,A46,,22,11.0,5,2,0,0,False,False,2,2,False,0,3,0
Karpov.pgn,Karpov,black,"Reimann, S.",URS-chT,URS,1968.??.??,1968,?,"Reimann, S.","Karpov, Anatoly",,,0-1,black_win,win,E53,,73,36.5,17,2,2,0,True,True,9,2,True,0,8,0
Karpov.pgn,Karpov,black,"Popov, Vladimir",URS-chT,URS,1968.??.??,1968,?,"Popov, Vladimir","Karpov, Anatoly",,,0-1,black_win,win,C91,,118,59.0,20,3,2,0,True,True,11,1,True,0,9,2
Karpov.pgn,Karpov,black,"Nisman, Boris I",URS-chT,URS,1968.??.??,1968,?,"Nisman, Boris I","Karpov, Anatoly",,,0-1,black_win,win,E26,,88,44.0,21,3,2,0,True,True,12,3,True,0,9,0
